MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
3.7796,16.0,2.6863,0.5574,2129.0,6.0494,35.4612552228494,-119.15545147359838,2.0904
4.0236,32.0,5.212,0.89,508.0,1.6835,37.4406462011892,-121.1801304657998,3.9495
4.2182,28.0,3.0763,0.6376,266.0,1.1992,37.69374765376116,-115.78289652810697,2.3833
1.7565,9.0,7.4358,1.7759,324.0,3.3826,34.256117327492504,-118.77076817076757,0.6001
0.973,17.0,3.1926,0.6818,685.0,4.7918,41.711053963763305,-121.01116795316128,1.7033
1.4748,50.0,3.46,0.5603,436.0,2.7427,39.86376182193059,-114.55294562315184,0.7136
4.531,19.0,5.8556,0.9707,1089.0,5.1509,41.4252399448598,-115.6263196627528,2.8234
1.1728,7.0,6.4988,1.0625,184.0,5.1865,41.00085982906266,-114.18282797870609,1.1753
1.312,36.0,5.3562,0.9771,1940.0,7.8907,38.18004979870531,-117.23154431622308,2.1217
1.307,40.0,6.3907,0.8419,290.0,3.4773,41.25780523271961,-120.5286594921865,2.4212
0.7466,1.0,6.8967,0.8458,1064.0,1.2905,33.34067876949324,-121.55096299987036,0.4893
1.2179,42.0,5.5802,0.8945,778.0,2.5844,34.36183719298188,-117.53516264141795,1.8264
5.4755,36.0,4.3745,0.9896,144.0,4.7379,32.92965924465011,-114.20142588379932,2.4217
1.6459,49.0,2.8265,0.6583,593.0,4.6708,35.59063814225101,-117.91949165890959,1.3201
0.7991,39.0,3.2648,0.7093,1133.0,2.2204,36.19243425205008,-115.2430431196067,1.4777
1.9,1.0,7.1548,1.0301,617.0,3.1848,35.07781580185201,-121.04441397399843,2.309
3.886,48.0,5.6227,1.0356,2913.0,2.7097,40.37300633694333,-120.22698528402032,2.7247
0.7546,24.0,4.543,0.8449,2374.0,2.1238,35.8891566035891,-114.98410998431179,1.5792
5.2979,10.0,4.0245,0.5832,685.0,3.9089,35.16887784203012,-116.5528996294429,4.0842
0.9914,11.0,2.7946,0.4685,1267.0,2.3824,37.65561279000336,-114.195191636137,2.1607
2.0609,38.0,7.1225,1.1273,310.0,2.7151,33.838780137260244,-116.36497579781147,2.408
2.0426,22.0,3.9692,0.6069,2378.0,1.9042,40.12087131716338,-119.79058507420856,2.0995
1.8349,31.0,4.5252,0.782,324.0,5.9816,33.208231114957826,-118.92378579186519,1.8193
2.5977,1.0,6.9037,1.114,999.0,3.6819,41.875425897704915,-115.04458732913706,2.1422
4.6879,41.0,3.6852,0.887,1115.0,3.3182,39.836325308318244,-118.7077092709705,2.837
2.6417,11.0,5.3116,1.0723,562.0,2.6922,34.387798974574636,-121.81832757127333,2.2675
1.779,6.0,4.5583,0.8914,517.0,2.6682,32.552460112674225,-119.92599196591553,0.8944
3.744,51.0,4.9216,0.8579,820.0,5.1127,40.246883570320925,-119.07868211708426,3.3756
3.1427,45.0,3.3386,0.598,652.0,1.3052,39.21514476655236,-123.48444174771313,3.645
1.7012,17.0,6.1002,1.0894,488.0,4.4048,39.42556809638938,-116.69049192034466,2.1889
2.8,14.0,5.6017,0.685,397.0,2.4766,39.82706829351648,-123.35178369977278,2.6123
1.6054,32.0,7.0837,1.7322,505.0,3.0235,33.20342419147386,-120.24836400962754,1.0791
1.4829,20.0,5.0552,1.0772,703.0,5.7092,35.90542442117059,-116.05146436382576,1.7371
4.7782,4.0,2.9647,0.5667,1495.0,6.7387,33.60075606548873,-119.59051120306039,2.6931
3.7168,39.0,4.551,0.686,2309.0,4.8427,40.69948254581814,-115.65883704295567,2.5438
4.6612,47.0,2.8572,0.3445,323.0,2.4646,38.4213322048618,-120.9102461184108,3.1952
4.2401,22.0,9.6665,1.5098,1074.0,2.2731,35.643531236100166,-114.44481891301643,2.9135
1.4607,29.0,4.2993,0.9531,901.0,7.5472,33.10380432771723,-122.30058146604503,2.0455
5.4789,42.0,5.075,1.2498,360.0,1.7359,35.45433205629879,-124.09822647761234,3.8021
2.2071,37.0,5.4185,1.1855,1940.0,2.1374,35.5892415592541,-115.3395212986006,2.2573
5.2093,13.0,4.2625,0.7507,507.0,3.489,39.43125869421161,-116.60187148252072,2.6174
2.4903,15.0,8.1057,1.8658,1116.0,5.0984,38.55679597787452,-122.06416971079258,2.9679
3.3845,35.0,5.0072,1.2492,750.0,2.4816,40.9285210544751,-114.16021312506493,1.4278
3.4565,25.0,3.6088,0.5776,1514.0,2.423,36.98604178903852,-119.22605864268046,2.2501
4.803,51.0,4.5408,0.7868,836.0,2.0855,33.63614533641387,-114.51381287848628,2.7768
0.8657,3.0,5.6696,0.9986,491.0,3.3503,39.27582547861845,-119.1971979004365,2.4015
0.9017,51.0,4.0725,0.6918,3806.0,2.6117,39.72745796186052,-119.54531683890144,1.7326
4.3501,12.0,4.4042,0.8971,2744.0,1.8644,37.832133376910214,-119.78404535998311,3.3129
3.4884,14.0,5.8967,1.3759,111.0,5.1771,39.82418820956833,-120.98380960060402,3.46
1.5794,40.0,4.5622,1.0611,1036.0,5.1189,37.19105816546171,-118.8961342796462,1.6662
3.5079,32.0,5.4338,0.725,484.0,4.77,37.46596187912894,-119.74817604954004,3.5568
1.0145,50.0,5.3468,0.662,377.0,2.0924,36.56163967440622,-124.11415779545268,0.9586
15.0,4.0,3.8179,0.6744,209.0,5.2577,32.7414817040689,-121.76543004905322,5.0
6.808,29.0,4.0446,0.5608,1824.0,2.6033,33.52496855643639,-122.26221059889164,4.2922
4.2022,31.0,2.5471,0.3288,839.0,3.0103,32.798577264023976,-115.3919261756288,1.6915
2.8661,32.0,8.0199,1.0747,109.0,3.2276,38.54589890700591,-118.21186523911817,2.3873
1.7628,24.0,5.5668,1.1274,1882.0,4.1112,35.486381820225105,-116.48132744527786,2.5798
1.0864,11.0,4.2849,0.7094,477.0,3.1131,37.33142156606468,-114.45332660363255,0.6538
2.5101,30.0,3.6955,0.7468,820.0,3.2226,41.12188150229788,-117.73758763847269,1.7342
1.4891,49.0,2.2202,0.2798,862.0,2.2915,34.868276176914314,-114.18259509025019,1.3297
1.5511,19.0,2.7709,0.6685,694.0,3.0735,36.39863776883848,-121.22647745765263,1.5486
1.0083,36.0,9.6071,2.3605,1433.0,2.2698,39.677735816158965,-122.54419458571462,1.1547
3.2374,6.0,3.1102,0.751,221.0,2.701,34.67358257217041,-120.26524617607443,2.545
2.0878,2.0,4.1955,0.6328,321.0,5.8226,33.23130914337354,-119.55660614317402,1.8293
3.9533,39.0,7.1966,1.6682,403.0,3.3259,35.2526388026808,-115.09870380004786,1.4879
3.7433,19.0,3.0755,0.5243,1353.0,3.9297,34.031602228913044,-118.6206253901149,3.4358
3.1919,46.0,5.4587,1.1505,264.0,3.302,41.33212769725444,-121.43209950611082,1.5234
15.0,48.0,3.9253,0.5674,2204.0,5.6624,40.17714360586196,-116.70234002989103,5.0
4.8384,40.0,3.8813,0.6783,1929.0,1.2226,38.51733568684902,-119.18876466003975,3.4004
1.1248,18.0,5.0271,1.1879,726.0,3.1308,40.778875606783316,-122.79761457461072,1.4272
3.7476,41.0,2.7971,0.502,422.0,3.4824,40.134884730541586,-118.44339223029185,3.5747
2.6174,36.0,4.0986,0.9876,303.0,3.6297,34.27241555941734,-114.93035736352351,2.3172
1.0628,46.0,4.849,0.807,551.0,2.5321,40.97931048565479,-115.65246251650389,2.0977
1.0049,50.0,2.3473,0.4632,376.0,2.5146,37.623751298198684,-118.33849528732902,1.6046
3.7331,20.0,9.2611,1.6433,1061.0,3.9037,40.1706814740586,-120.54062667420763,3.0801
4.4295,37.0,8.5312,1.1673,3399.0,10.0364,41.012867349273186,-123.58672311382578,3.7295
1.3069,1.0,2.7827,0.5074,334.0,2.4394,35.52103301223271,-119.56868630501795,1.4105
5.3608,23.0,3.6815,0.6141,117.0,4.7404,33.54549328301293,-116.60316590593942,2.4349
3.3183,38.0,8.63,1.2562,1179.0,1.9563,34.665384044148446,-120.71712594280339,2.6758
6.2783,20.0,5.5973,0.9799,213.0,1.0484,36.55752399194944,-122.02780833170752,3.5672
5.8284,4.0,5.3798,0.8438,420.0,2.0967,40.27114027626369,-114.72051294765498,4.6524
2.4329,51.0,7.0768,1.0861,331.0,3.3841,40.67694054093526,-115.87366514519108,2.174
8.5414,49.0,6.1061,1.4145,277.0,4.0138,32.566045240046314,-117.79810599608848,5.0
1.2375,38.0,5.0175,1.1023,1856.0,1.9883,37.352099374486876,-123.06377488883454,2.1761
14.4863,5.0,3.7415,0.7782,390.0,3.0372,36.4654045299134,-122.97845717573519,5.0
1.4694,6.0,4.9296,0.8252,951.0,2.2799,34.61002419947194,-123.41619428971433,1.8111
2.6285,26.0,9.0326,1.3554,534.0,1.7775,33.638720989669984,-118.0288849976262,1.5591
1.8275,1.0,8.7158,1.7612,3527.0,1.7463,35.70734412833447,-123.28659063702997,1.1269
2.0881,50.0,4.3308,0.6767,42.0,4.1067,41.45764218716893,-115.65241441194235,2.1985
15.0,15.0,2.5767,0.5604,1797.0,1.6653,35.57042785419718,-114.07386748089712,5.0
1.9662,16.0,4.5118,0.8241,1348.0,4.256,37.428510906561975,-120.65334406055902,1.9749
4.9322,23.0,1.6928,0.4035,204.0,4.9491,39.17868010950419,-119.73646660684548,3.4991
2.3053,41.0,6.1569,1.457,407.0,1.4809,35.95448122260329,-117.02749464165038,1.9247
5.2361,22.0,4.0187,0.7138,122.0,4.2945,41.731929785849125,-114.65989343357946,2.8696
1.8572,5.0,3.3426,0.8158,323.0,2.4719,41.64324930195006,-115.11201537765795,1.761
3.2521,43.0,3.0627,0.6306,178.0,2.3088,34.89193181034096,-123.8952857981266,1.9556
4.2211,5.0,3.9547,0.7856,666.0,2.801,37.223860805977665,-122.72474607315397,3.9092
1.6401,6.0,3.1013,0.4098,581.0,2.8086,35.358343943259314,-116.57672941514318,1.5884
15.0,2.0,6.1142,1.5146,11397.0,2.9442,35.20598469658594,-117.2666223656593,5.0
4.3783,10.0,2.0,0.2638,2203.0,1.8432,32.85042599986806,-123.1012047625787,3.0279
2.3206,36.0,6.0882,0.9439,60.0,3.9237,38.29086117280902,-119.22832188898354,2.3126
1.6685,46.0,6.7297,0.9566,379.0,5.1154,37.275450720674186,-116.30144637360439,1.7488
2.8985,35.0,6.4534,0.8223,251.0,2.9869,32.9890481368749,-122.20280283624172,1.3057
1.1604,45.0,3.4335,0.8578,1140.0,3.2502,35.14714141024781,-115.351479824786,1.1828
9.4651,23.0,4.5267,0.7309,1483.0,2.7788,41.12852591668321,-123.94379636438613,5.0
3.6762,47.0,4.4406,0.5595,772.0,2.793,34.77583796133624,-116.28695160678522,3.5219
2.5559,16.0,2.5786,0.3513,428.0,3.0799,33.87650128486662,-118.03390155220636,1.7184
5.653,37.0,3.1683,0.4776,150.0,2.6872,37.149801222636846,-121.19040686012933,2.9703
1.6404,42.0,6.2728,0.7843,526.0,6.975,41.86367931405071,-116.93020824240993,2.4939
1.2103,35.0,3.1723,0.4412,1762.0,3.4438,34.799525079359256,-116.28515915091282,1.2604
2.4816,48.0,8.8421,1.0979,415.0,3.5264,38.885287700355846,-114.69406080130832,2.3614
2.9721,40.0,5.9145,0.8379,541.0,2.2142,39.735386345622814,-120.63836594238023,1.6996
3.9409,16.0,3.233,0.5751,323.0,5.0826,34.757556667927794,-117.29682427221047,2.2422
0.9672,5.0,7.2386,1.7869,1500.0,2.7864,39.418055311812665,-118.17252909218574,1.9199
1.975,11.0,4.8037,0.9991,654.0,1.8818,35.99393976083291,-118.98533627070057,1.8937
0.5,51.0,8.1104,1.5395,143.0,2.409,38.506905390639005,-115.1506270213721,1.1645
1.1881,29.0,5.1576,1.2824,108.0,5.8745,38.518532252228496,-124.46674320154679,0.8263
4.4848,48.0,6.6225,1.4003,2205.0,3.4797,37.589859498710204,-121.53782813591222,3.5315
5.3266,46.0,6.2613,1.0526,284.0,2.488,33.35775281551688,-118.84808898477928,3.3527
1.2221,11.0,4.3765,0.9763,7639.0,1.8962,40.435373708097764,-122.6279207528162,1.3164
2.1658,46.0,4.4356,0.8102,1075.0,7.6905,35.54741061723149,-114.96740139580604,2.0663
2.7674,16.0,5.8732,0.7355,5409.0,2.7225,34.27192584879862,-117.70025126506334,1.4988
5.7816,25.0,5.7436,1.164,760.0,2.8253,32.887363844770256,-119.4822285563641,3.4961
7.9277,50.0,8.1318,1.7478,173.0,1.3791,38.113482960288295,-115.94563152980012,3.8751
3.0257,3.0,6.8211,1.6866,347.0,3.436,38.93686143750168,-119.7656949896164,3.0268
2.265,3.0,5.9222,0.7859,694.0,2.0163,32.65758437481463,-118.6341433747349,2.0282
0.9895,1.0,2.6064,0.422,1167.0,2.8561,37.36488405384317,-124.47111454668384,1.5515
2.9319,12.0,7.0521,1.5083,173.0,3.6763,34.65170986438041,-120.66014443295172,2.1748
11.6167,7.0,5.2975,1.0805,2190.0,5.3536,38.629141508889774,-123.04270004031481,5.0
6.7069,43.0,4.1079,0.7686,485.0,3.4539,34.15648107554742,-117.25826885304595,4.0206
3.0722,45.0,4.7898,0.6925,677.0,2.8982,39.06390851197342,-119.4702169307548,2.0392
3.3614,46.0,1.7752,0.2617,712.0,4.9167,36.1739857898551,-121.33154564887258,2.5955
1.6787,32.0,9.02,2.218,2312.0,3.3073,41.39893489299898,-119.58776043659671,1.4169
2.117,22.0,5.7173,0.7649,1090.0,3.8412,33.806448969386935,-122.29888617651086,2.7838
3.0142,12.0,10.1386,2.18,1869.0,5.3288,35.74013033497746,-114.78659035889552,2.3094
3.0206,6.0,13.6473,1.6411,208.0,2.0397,33.5779984517856,-123.93328735821541,2.7862
5.5153,38.0,1.7029,0.2317,99.0,3.5575,41.28458937364635,-115.41312112939073,3.2496
5.3306,39.0,3.7563,0.8679,357.0,4.2269,40.83472385711932,-119.13073271829981,3.7822
3.9134,38.0,4.4687,0.7162,261.0,2.3059,34.95044546329398,-118.00106179054242,2.3549
1.3507,41.0,5.0866,1.2682,933.0,5.9122,38.7698484373247,-121.32264098045862,1.9357
1.3868,21.0,3.3973,0.7307,235.0,3.5539,40.26361090191155,-114.34967502365963,1.9016
1.4601,28.0,7.7998,1.3079,576.0,4.696,37.77440771019489,-121.54056493554536,1.9353
3.2055,32.0,8.6119,1.5114,1526.0,2.1849,37.53168049438206,-118.3167810300268,1.7954
0.6581,27.0,2.673,0.4045,487.0,1.5177,34.79759676355429,-114.06912459637515,1.3082
2.7064,49.0,6.7253,1.522,1802.0,2.1648,33.384476294156045,-115.24850883797382,1.782
7.2867,49.0,3.0445,0.3683,1460.0,6.6955,41.0235497005566,-118.86853683449588,4.4069
4.3352,15.0,5.6965,0.8605,1461.0,1.8616,41.05397154305164,-114.10106750884427,3.7786
2.1265,33.0,3.4962,0.8151,635.0,2.5833,38.51446384409604,-117.13561645180755,1.7308
1.6673,32.0,7.3384,1.8097,372.0,3.1969,35.720783014962656,-122.308645630511,1.4824
4.7779,46.0,7.5988,1.3457,511.0,3.5964,35.81749095882028,-120.24123979042403,3.5579
3.3677,34.0,5.1451,1.1708,1137.0,2.8702,39.39657894926727,-120.98781999287871,1.9076
2.2876,7.0,9.1886,2.0768,135.0,3.9717,41.02254746954948,-120.88785606315251,2.3739
1.7998,13.0,4.2615,0.9393,200.0,2.9752,40.92732103051861,-116.5152073867214,2.4879
2.8676,39.0,6.0852,1.3963,107.0,4.0235,39.90881768564743,-118.36523926363567,3.3082
2.1987,50.0,5.9827,1.4537,557.0,2.313,38.599300638465735,-124.10002652830995,1.8569
4.7071,6.0,4.7196,0.5989,223.0,5.1324,33.299329667452966,-115.28679092166475,2.8969
6.4806,51.0,6.5077,1.0847,1723.0,3.0941,34.03547278389883,-121.38364052495827,4.7081
1.0439,9.0,6.8559,1.4476,2417.0,4.3901,41.036264791007255,-114.03071379241199,1.1421
1.1525,42.0,3.8788,0.5637,974.0,2.6862,38.26107606676611,-114.48099733148474,1.6964
6.9841,4.0,5.6551,1.0691,2060.0,1.7469,32.58737199035798,-114.62442747483937,4.9778
3.0528,30.0,4.8089,0.9668,2157.0,4.2371,33.463979657227306,-115.98316015732827,2.1152
1.231,28.0,5.2812,0.7488,440.0,2.0986,38.80326680652653,-122.1835600173228,1.2912
5.4101,21.0,9.2916,1.9418,205.0,3.4466,32.54808504653908,-118.90735618769779,3.2268
3.4528,12.0,3.278,0.4095,341.0,2.7974,34.027676488466234,-122.14482241833777,2.787
12.7085,13.0,8.0986,1.0014,1207.0,2.2701,37.71297099898257,-121.77340771631603,5.0
2.3055,50.0,4.169,0.9022,703.0,1.5758,39.07300437808058,-118.08500642091909,1.9827
5.9067,13.0,4.1832,0.8565,760.0,2.7151,38.693631965274704,-124.07124777379283,4.4748
0.9859,27.0,4.2086,0.9235,674.0,3.3068,34.630558439875315,-114.32068504838257,1.893
7.2226,28.0,4.7826,0.583,921.0,2.6585,39.26570260280159,-114.85393168793138,4.9947
5.2641,18.0,5.1168,0.6659,876.0,2.8064,34.7538663312196,-120.50194049234395,1.9996
8.3565,37.0,3.7531,0.6002,298.0,5.2806,35.59129713251304,-119.08806429592741,3.7462
5.9145,16.0,2.0165,0.2691,2235.0,4.797,39.591668348621226,-119.60574609768852,3.9295
2.5362,21.0,5.8818,0.9594,3499.0,3.0117,38.67151254094854,-115.23690232451656,3.1376
1.1975,10.0,4.3996,0.8485,587.0,3.369,40.56762239969469,-117.26968029868084,2.6474
1.7835,14.0,3.1967,0.6132,1344.0,2.7223,38.74732247685326,-121.57983190204426,1.7297
0.7923,28.0,4.599,0.6066,445.0,1.9293,37.89893173168698,-119.80816682811438,0.5159
1.4267,29.0,4.7406,0.6132,4107.0,1.9163,33.38991029436688,-119.99585725528898,1.5459
3.6623,47.0,12.2289,1.538,590.0,5.7039,35.99330012906462,-114.42698073301885,2.9413
2.6289,11.0,6.2696,1.4693,1075.0,1.7668,35.01942249297639,-122.65923543959629,2.3793
2.3245,30.0,7.3515,1.6108,662.0,4.1525,34.817901612101295,-123.5594484584085,1.7635
1.5602,40.0,5.3244,1.209,111.0,2.646,41.743600270148235,-115.25350226230225,2.4327
0.7861,27.0,5.2656,0.6447,161.0,2.4576,36.23442838433422,-115.08479711018836,1.8247
3.0878,49.0,5.6433,1.204,302.0,2.3858,40.97444227418258,-115.34673957692227,2.633
3.5446,3.0,3.0081,0.6087,875.0,2.5475,38.495816946973996,-119.13474238593166,3.3277
1.3579,1.0,4.089,0.5423,631.0,4.9157,40.05070738364566,-117.57268350317067,1.93
1.8712,32.0,3.8399,0.7514,682.0,2.0377,37.275052384499325,-118.58468800060967,0.3975
8.0004,39.0,3.8086,0.4887,703.0,4.835,37.98058690395041,-123.77079782642879,4.2659
6.1205,21.0,3.0419,0.5443,1345.0,2.4927,37.17891809127921,-118.24373358254242,3.17
0.9617,2.0,3.7992,0.7936,265.0,3.8244,34.35480838408142,-124.35705145381094,1.0521
2.5619,10.0,7.5236,0.9629,303.0,3.9034,39.3632950949843,-121.0876321996506,2.4162
7.5268,31.0,2.563,0.4779,465.0,4.8072,35.16733744318813,-114.71092795333175,4.4213
2.3362,18.0,6.2759,1.3162,812.0,5.5771,32.73100168109881,-121.30752466882402,1.3911
2.2518,7.0,11.9625,1.5141,672.0,2.543,38.6319868111181,-114.6318202522354,2.0662
5.8411,5.0,11.7612,2.7419,1358.0,2.3824,34.182551454366966,-121.87359344993294,3.4948
5.4246,29.0,4.8398,0.8038,421.0,1.4073,41.434356551352685,-121.19709647515391,3.4208
5.2316,4.0,5.3546,0.8614,811.0,1.4857,41.56232148152458,-117.90172128739519,3.2696
2.2628,46.0,9.3659,1.2718,815.0,1.7301,41.19121170709426,-116.5029167857124,2.7006
4.3233,3.0,3.5394,0.8781,202.0,3.7643,36.016507652426725,-119.23542843594872,3.5825
7.7394,13.0,9.2973,1.8145,2617.0,2.3775,32.64683785702424,-115.23778528446137,4.617
2.625,3.0,4.8748,0.9546,661.0,2.5789,41.31902634458339,-124.07747557308849,1.6839
2.0495,8.0,9.7475,1.9426,2243.0,4.3233,36.56774940901449,-114.8169541943391,1.376
6.4305,50.0,3.6051,0.6282,1456.0,4.1863,41.68322078091486,-122.43876810109822,3.0073
11.3794,51.0,6.4393,1.0932,709.0,3.296,41.654389782347906,-115.21549317661112,5.0
11.9473,4.0,8.1361,1.5568,152.0,1.2724,40.603589826939924,-120.29093661539301,5.0
2.0914,42.0,5.1106,0.7229,653.0,2.6595,35.29726447466106,-115.7560509133541,2.1857
2.2438,35.0,2.7894,0.5483,1430.0,3.2599,36.15842842171829,-117.4475117270612,1.8085
1.3226,12.0,7.2672,1.3424,988.0,3.1268,40.58579837941014,-122.65261285897824,0.9054
2.9525,24.0,6.5079,0.9062,191.0,3.1367,35.51075904898464,-114.8605005162448,2.5057
1.2816,38.0,3.6924,0.8172,984.0,3.4686,34.11018109351788,-121.92206739987117,1.6585
1.8802,19.0,5.6559,0.7342,297.0,1.5137,37.78961199335433,-121.9365287537025,1.3836
4.4406,36.0,4.9782,0.7528,115.0,3.4643,41.39347035452742,-115.9511215853075,3.5515
3.5715,35.0,3.5901,0.5097,425.0,7.1742,39.112283068412246,-123.38833081648853,2.7209
0.7653,18.0,3.3568,0.6026,1201.0,2.2388,37.915581115848966,-122.16862298311017,0.9157
8.1597,40.0,2.6223,0.5561,204.0,2.9324,33.4231766908223,-119.21138547907884,4.2147
1.2701,34.0,6.8303,1.0347,1855.0,1.7016,38.34256865364211,-115.77999119879044,1.6806
1.3873,25.0,3.9417,0.5506,497.0,4.4141,41.9055115759905,-122.9514182652587,1.8924
1.142,7.0,6.1953,1.199,576.0,2.4513,33.83079814474698,-118.74948353762036,0.763
1.711,11.0,7.4221,1.5329,400.0,3.6945,37.4241316974555,-117.03197378606913,1.4268
1.451,38.0,3.5514,0.8652,1462.0,4.1444,40.835044183315574,-115.46375014048252,1.5849
1.4759,19.0,4.7761,0.9506,137.0,2.566,39.53730186866494,-114.6765616178767,2.0269
0.5,35.0,3.0653,0.5942,1915.0,4.7198,39.12164953945505,-116.26128089807621,1.9832
2.9771,45.0,6.9733,1.2652,963.0,2.2989,39.17359879787754,-117.64530181866898,2.5695
3.1977,20.0,2.7324,0.4272,4671.0,2.8331,35.91516593658768,-119.94698910421596,1.6625
13.08,27.0,5.508,1.342,114.0,2.1263,35.289122520512684,-123.3228433810216,5.0
3.8207,31.0,4.3289,0.9195,386.0,7.784,40.18893097704588,-117.04775947848202,3.1896
1.9201,25.0,6.9402,1.2602,427.0,3.0663,40.196077249452216,-114.07625830300739,2.5009
1.1729,2.0,4.8187,0.9116,1374.0,2.1932,40.73718702651099,-116.76401375531294,2.1367
2.5411,29.0,10.9496,2.6777,1561.0,3.5344,41.17578524928648,-124.32453351575387,1.5328
3.7214,37.0,4.7548,0.8706,650.0,2.4163,37.35775278917891,-119.28927023056069,2.4272
1.9111,31.0,5.2709,1.3132,440.0,2.7728,37.26440479952839,-118.04621035892951,1.1839
2.8369,47.0,6.9143,1.3432,485.0,2.9682,40.08380420018436,-117.25842088842015,2.2393
10.2589,42.0,6.031,1.4427,447.0,3.9839,38.67465734238877,-116.94287872619256,5.0
2.0774,6.0,3.615,0.774,831.0,4.2827,39.16868533394818,-118.6398613672265,2.7935
